timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2022-11-01T00:07:26,codecarbon,7b3d3af8-4e1d-4839-9158-33632abf1b8b,5.864837169647217,9.866024051411396e-06,0.0016822332429742,42.5,8.361,2.9440126419067383,6.922627290089926e-05,1.1704680619835851e-05,4.120977956949332e-06,8.505193147768445e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:08:08,codecarbon,b41fe70e-18e7-48c6-bf0c-da96ca9d44c2,5.578602313995361,9.298635656667412e-06,0.001666839672966,42.5,7.303000000000001,2.9440126419067383,6.582308544052973e-05,1.0218319601615272e-05,4.119247170505105e-06,8.01606522126501e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:09:08,codecarbon,75f4eaff-2d7f-4479-8b28-a549cec53c7e,5.503430128097534,1.0369009383861e-05,0.0018840993966512,42.5,13.067,2.9440126419067383,6.49651168121232e-05,1.993249027974076e-05,4.49040483797224e-06,8.938801192983621e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:28:22,codecarbon,a5c57653-72c7-4c6f-acbe-20f478ad8436,5.582697868347168,9.283313067931958e-06,0.0016628721967145,42.5,7.165,2.9440126419067383,6.590684983465407e-05,1.0009094219737584e-05,4.112616876056261e-06,8.002856093044791e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:28:49,codecarbon,03e6fc44-f6d7-407d-95d5-86a1d23e9c23,5.134930372238159,8.83045309277718e-06,0.001719683121804,42.5,8.287,2.9440126419067383,6.0615101787779074e-05,1.1443952522079151e-05,4.065541317531257e-06,7.612459562738948e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:29:14,codecarbon,35a53dde-8a65-4ce1-bf49-767e56a5f5ba,5.664921998977661,9.516252936263815e-06,0.0016798559517644,42.5,8.36,2.9440126419067383,6.687163213888805e-05,1.1215759563446044e-05,3.94927154131949e-06,8.203666324365359e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:36:24,codecarbon,bef34e52-f41b-49b3-a072-5a01e98e994a,6.070977449417114,1.0228033895976848e-05,0.0016847425280683,42.5,8.383000000000001,2.9440126419067383,7.166573355595272e-05,1.2216908330255088e-05,4.290064113592584e-06,8.817270599980039e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:38:07,codecarbon,9f2f62c2-733d-448a-9d2a-8a70d4f86141,5.809507608413696,1.0238715168429584e-05,0.0017624067061382,42.5,11.117000000000004,2.9440126419067383,6.857886645529005e-05,1.5564196720851792e-05,4.1217227585959415e-06,8.826478593473779e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:40:42,codecarbon,9bac7217-a0f6-4b8f-85b1-bf12e3db8105,5.708094358444214,9.585448863130608e-06,0.0016792730219938,42.5,8.3,2.9440126419067383,6.738128612438838e-05,1.1258788857195112e-05,3.993104872990709e-06,8.26331798545742e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:44:28,codecarbon,99c3d95d-c961-4355-bb45-50a15ca290b5,5.772753953933716,9.682137436647656e-06,0.0016772129063373,42.5,8.222,2.9440126419067383,6.815056751171749e-05,1.1278209169043435e-05,4.037925359305064e-06,8.346670204006599e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
